Category: All categories

Month,netflix: (Worldwide),amazon prime video: (Worldwide),hulu: (Worldwide)
2004-01,2,0,<1
2004-02,2,0,<1
2004-03,2,0,<1
2004-04,2,<1,<1
2004-05,2,0,<1
2004-06,2,0,<1
2004-07,2,<1,<1
2004-08,2,0,<1
2004-09,2,<1,<1
2004-10,2,<1,<1
2004-11,2,0,<1
2004-12,2,0,<1
2005-01,3,0,<1
2005-02,3,<1,<1
2005-03,2,0,<1
2005-04,2,0,<1
2005-05,2,<1,<1
2005-06,2,0,<1
2005-07,3,0,<1
2005-08,3,<1,<1
2005-09,3,0,<1
2005-10,3,0,<1
2005-11,3,0,<1
2005-12,3,0,<1
2006-01,4,0,<1
2006-02,3,0,<1
2006-03,3,0,<1
2006-04,3,<1,<1
2006-05,3,0,<1
2006-06,4,<1,<1
2006-07,4,<1,<1
2006-08,4,<1,<1
2006-09,3,0,<1
2006-10,4,<1,<1
2006-11,4,<1,<1
2006-12,4,<1,<1
2007-01,5,<1,<1
2007-02,4,0,<1
2007-03,4,<1,<1
2007-04,3,0,<1
2007-05,3,<1,<1
2007-06,4,0,<1
2007-07,5,<1,<1
2007-08,4,0,<1
2007-09,4,0,<1
2007-10,4,0,<1
2007-11,4,0,<1
2007-12,4,0,<1
2008-01,5,0,<1
2008-02,5,0,<1
2008-03,5,0,1
2008-04,4,<1,1
2008-05,4,0,1
2008-06,5,0,2
2008-07,5,0,2
2008-08,5,0,2
2008-09,5,0,3
2008-10,5,0,4
2008-11,6,0,5
2008-12,7,0,5
2009-01,7,0,5
2009-02,7,0,9
2009-03,6,0,8
2009-04,6,0,8
2009-05,6,<1,9
2009-06,6,<1,7
2009-07,7,0,7
2009-08,8,0,7
2009-09,7,0,8
2009-10,7,0,10
2009-11,8,<1,9
2009-12,10,<1,10
2010-01,10,<1,9
2010-02,10,<1,9
2010-03,10,0,8
2010-04,10,0,9
2010-05,10,<1,10
2010-06,12,0,8
2010-07,13,0,8
2010-08,13,<1,8
2010-09,14,<1,8
2010-10,15,<1,10
2010-11,16,<1,10
2010-12,18,<1,10
2011-01,19,<1,10
2011-02,18,<1,9
2011-03,19,<1,9
2011-04,19,<1,10
2011-05,17,<1,9
2011-06,21,<1,9
2011-07,24,<1,9
2011-08,21,<1,8
2011-09,21,<1,8
2011-10,20,<1,9
2011-11,19,<1,9
2011-12,22,<1,8
2012-01,24,<1,8
2012-02,22,<1,9
2012-03,22,<1,8
2012-04,20,<1,8
2012-05,20,<1,7
2012-06,23,<1,6
2012-07,23,<1,6
2012-08,23,<1,6
2012-09,22,<1,6
2012-10,24,<1,7
2012-11,24,<1,6
2012-12,31,<1,7
2013-01,28,<1,7
2013-02,27,<1,7
2013-03,26,<1,6
2013-04,25,<1,6
2013-05,25,<1,6
2013-06,27,<1,5
2013-07,29,<1,5
2013-08,29,<1,5
2013-09,28,<1,4
2013-10,27,<1,5
2013-11,29,<1,5
2013-12,35,<1,5
2014-01,36,<1,5
2014-02,30,<1,4
2014-03,29,<1,4
2014-04,26,<1,4
2014-05,26,<1,4
2014-06,27,<1,3
2014-07,29,<1,4
2014-08,31,<1,4
2014-09,30,<1,3
2014-10,29,<1,4
2014-11,29,<1,4
2014-12,34,<1,4
2015-01,37,<1,4
2015-02,35,<1,4
2015-03,33,<1,4
2015-04,34,<1,4
2015-05,34,<1,3
2015-06,37,<1,3
2015-07,37,<1,3
2015-08,38,<1,3
2015-09,38,<1,4
2015-10,39,<1,4
2015-11,37,<1,4
2015-12,40,1,4
2016-01,45,1,4
2016-02,35,<1,3
2016-03,35,<1,3
2016-04,32,<1,3
2016-05,30,<1,3
2016-06,34,<1,3
2016-07,36,<1,3
2016-08,34,<1,3
2016-09,35,<1,3
2016-10,37,1,3
2016-11,36,1,2
2016-12,40,1,3
2017-01,44,1,3
2017-02,37,1,3
2017-03,36,1,3
2017-04,41,1,3
2017-05,40,1,3
2017-06,39,1,3
2017-07,44,1,3
2017-08,44,1,3
2017-09,44,1,4
2017-10,47,1,4
2017-11,46,2,4
2017-12,52,2,4
2018-01,52,2,4
2018-02,48,2,4
2018-03,51,2,4
2018-04,48,2,4
2018-05,48,2,4
2018-06,49,2,4
2018-07,50,2,4
2018-08,49,2,4
2018-09,50,2,5
2018-10,49,2,4
2018-11,48,2,5
2018-12,58,2,4
