show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2307,Movie,A Crooked Somebody,,,United States,"December 31, 2018",2017,R,102 min,"Drama, Thriller","Michael Vaughn, a phony psychic medium, is kidnapped by a guilt-ridden murderer who believes Michael can help him make peace with the spirit of his dead victim."
s2308,TV Show,The Orville,,,United States,"December 31, 2018",2017,TV-14,2 Seasons,"Comedy, Science Fiction","From Emmy Award-winning executive producer and creator Seth MacFarlane, THE ORVILLE is a live-action, one-hour space adventure series set 400 years in the future that follows The Orville, a mid-level exploratory spaceship. Its crew, both human and alien, face the wonders and dangers of outer space, while also dealing with the familiar, often humorous problems of everyday life."
s2309,Movie,Eating Animals,,,"United Kingdom, India, Germany, China, United States","December 29, 2018",2017,94 min,,Documentaries,What's on your plate? Natalie Portman and Jonathan Safran Foer present this eye-opening look at the food industry and an ethical future free of factory farming.
s2310,Movie,Far From the Tree,,,United States,"December 29, 2018",2017,93 min,,Documentaries,Discover the courage of compassion through the eyes of parents journeying towards acceptance of their unique children. Based on The New York Times bestseller.
s2311,Movie,"New Year, New You",,,United States,"December 28, 2018",2018,TV-MA,84 min,Horror,"A group of old friends gather for a girls’ night on New Years Eve. But as they begin to rehash old memories, many of the gripes they’ve been harboring manifest in murderous ways."
s2312,TV Show,UFC 25 Greatest Fights,,,,"December 28, 2018",2018,,1 Season,Sports,"The UFC counts down the greatest battles to ever transpire inside the Octagon. See the iconic performances, shocking upsets and ruthless rivalries that turned athletes into legends."
s2313,Movie,UFC Fight Flashback,,,,"December 28, 2018",2014,TV-14,,Sports,"UFC Fight Flashback is an enhanced replay of the biggest fights, featuring never-before-seen footage from state-of-the-art, specialty cameras, and exclusive new sound captured from all corners. Experience the incredible sights and sounds of a UFC main event from the perspective of the people who lived it."
s2314,Movie,UFC Main Event,,,,"December 28, 2018",2014,TV-14,,Sports,"UFC Main Event is a 1-hour program that showcases the best fights of recent vintage, set-up by prefight, interview-driven features that reveal the backstories of the athletes and their mindsets just prior those epic bouts."
s2315,Movie,UFC Reloaded,,,,"December 28, 2018",2015,,,Sports,Re-live your favorite UFC events in the special replay presentation.
s2316,Movie,UFC Top 10,,,,"December 28, 2018",2015,,,Sports,A series of lists counting down some of the most thrilling moments in the history of the Ultimate Fighting Championship.
