"s4230","Movie","Bill Hicks: One Night Stand","John Fortenberry","Bill Hicks","United Kingdom","December 31, 2018",1991,"TV-MA","28 min","Stand-Up Comedy","Bill Hicks remembers a wild night in 1989 and offers his views on puffing cigarettes, smoking weed, drinking, sex, commercials and music."
"s4231","Movie","Bill Hicks: Reflections",,"Bill Hicks, Steve Hicks",,"December 31, 2018",2015,"TV-MA","34 min","Documentaries","This documentary about comedian Bill Hicks offers insight into his irreverent takes on, well, everything. Brother Steve Hicks is the star witness."
"s4232","Movie","Bill Hicks: Relentless","Chris Bould","Bill Hicks","United Kingdom","December 31, 2018",1992,"TV-MA","61 min","Stand-Up Comedy","In one of his most iconic performances, late comedian Bill Hicks demonstrates what made him such a singular talent and a force to be reckoned with."
"s4233","Movie","Bill Hicks: Revelations","Chris Bould","Bill Hicks","United Kingdom","December 31, 2018",1993,"TV-MA","56 min","Stand-Up Comedy","In his final recorded special, the iconoclastic comedian channels Goat Boy and tackles provocative topics like British porn, pot and the priesthood."
"s4234","Movie","Bill Hicks: Sane Man","Kevin Booth, David Johndrow","Bill Hicks","United States","December 31, 2018",1989,"TV-MA","81 min","Stand-Up Comedy","Filmed in 1989 at a turning point in comedian Bill Hicks's career, this rare onstage performance captures him spouting off on a variety of topics."
"s4235","Movie","Gina Yashere: Laughing to America","Paul M. Green","Gina Yashere",,"December 31, 2018",2013,"TV-MA","68 min","Stand-Up Comedy","British comic Gina Yashere takes the stage in San Francisco, where she shares her thoughts on everything from toilet ninjas to her troublesome name."
"s4236","Movie","Gina Yashere: Skinny B*tch",,"Gina Yashere","United Kingdom","December 31, 2018",2008,"TV-MA","58 min","Stand-Up Comedy","Standup comedian and ""Daily Show"" correspondent Gina Yashere delivers a sharp set of wry observations on the environment, money and more."
"s4237","Movie","Mexicanos de Bronce","Julio Fernández Talamantes",,"Mexico","December 31, 2018",2016,"TV-MA","100 min","Documentaries, International Movies, Music & Musicals","When street vices keep them coming back, three prisoners make sense of their lives in a penitentiary – and beyond it – through rap."
"s4238","Movie","Sam Kinison: Breaking the Rules","Walter C. Miller","Sam Kinison","United States","December 31, 2018",1987,"TV-MA","50 min","Stand-Up Comedy","The one-time preacher shakes and shudders as he tears into subjects including sex, marriage, religion, drugs and famine in this HBO special."
"s4239","Movie","Sam Kinison: Family Entertainment Hour","Walter C. Miller","Sam Kinison","United States","December 31, 2018",1991,"TV-MA","49 min","Stand-Up Comedy","Comic Sam Kinison lets it rip with this performance at L.A.'s Wiltern theatre, skewering every segment of modern society from religion to television."
"s4240","Movie","Sam Kinison: Live in Vegas","Walter C. Miller","Sam Kinison","United States","December 31, 2018",1991,"TV-MA","71 min","Stand-Up Comedy","Standup legend Sam Kinison is at his screaming best as he storms the stage in Sin City to get a few things off his chest."
"s4241","Movie","Sam Kinison: The Scream Continues",,"Sam Kinison","United States","December 31, 2018",2016,"TV-MA","29 min","Documentaries","Sam's brother and former manager Bill Kinison speaks about the late comedian's journey from preacher to standup legend."
"s4242","Movie","Secrets in the Hot Spring",,"Chang Ting-hu, Hong Yan-xiang, Lin He Xuan, Kuo Shu-yao, Law Kar-Ying, Mimi Chu","Taiwan","December 31, 2018",2018,"TV-14","108 min","Comedies, Horror Movies, International Movies","When three teen outcasts arrive at a hot springs hotel to help run things, creepy incidents prompt comical efforts to find what lurks in their midst."
"s4243","Movie","Taylor Swift reputation Stadium Tour","Paul Dugdale","Taylor Swift",,"December 31, 2018",2018,"TV-PG","125 min","Music & Musicals","Taylor Swift takes the stage in Dallas for the reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic."
"s4244","Movie","The Seven Deadly Sins the Movie: Prisoners of the Sky","Noriyuki Abe","Yuki Kaji, Sora Amamiya, Misaki Kuno, Aoi Yuki, Tatsuhisa Suzuki, Jun Fukuyama, Yuhei Takagi, Maaya Sakamoto, Tomokazu Sugita, Tsubasa Yonaga, Haruka Tomatsu, Reiko Suzuki, Akio Otsuka, Toshiyuki Morikawa, Yoko Hikasa, Toru Sakurai, Masuo Amada, Takaya Kuroda, Silk Road","Japan","December 31, 2018",2018,"TV-14","100 min","Action & Adventure, Anime Features, International Movies","The Seven Deadly Sins aid the Sky People against a powerful group of demons hellbent on resurrecting a demonic beast sealed over 3,000 years ago."
"s4245","Movie","Tim Allen: Men Are Pigs","Ellen Brown","Tim Allen","United States","December 31, 2018",1990,"TV-MA","30 min","Stand-Up Comedy","Standup comedian Tim Allen delivers a set dedicated to ""men stuff"" like lawn care, power tools and why he grunts like an animal."
"s4246","Movie","Tim Allen: ReWires America",,"Tim Allen","United States","December 31, 2018",1991,"TV-MA","30 min","Stand-Up Comedy","Standup star Tim Allen storms the stage for a set chock-full of observations about powerful cars, beautiful lawns and more of the things he loves."
"s4247","Movie","Tim Minchin And The Heritage Orchestra Live","Matt Askem","Tim Minchin, Jules Buckley","United Kingdom","December 31, 2018",2011,"TV-MA","146 min","Music & Musicals, Stand-Up Comedy","Flanked by a full orchestra, Tim Minchin takes the Royal Albert Hall by storm with a wonderfully witty evening of satirical musical comedy."
"s4248","Movie","Tim Minchin: So F**king Rock","Matt Askem","Tim Minchin","United Kingdom","December 31, 2018",2008,"TV-MA","127 min","Music & Musicals, Stand-Up Comedy","Comedic pianist Tim Minchin performs a host of his catchy songs that touch on everything from the Middle East to the healing power of canvas bags."
"s4249","Movie","Todd Glass: Stand-Up Special","Jay Chapman","Todd Glass","United States","December 31, 2018",2012,"TV-MA","46 min","Stand-Up Comedy","Standup comedian Todd Glass gets right down to it, with sly observations on accepting directions, denying compliments and being afraid of the dark."
"s4250","Movie","Tom Papa Live in New York City","Rob Zombie","Tom Papa","United States","December 31, 2018",2011,"TV-14","57 min","Stand-Up Comedy","Comedian Tom Papa riffs on the trials of married life, fatherhood in the 21st century, domestic pets and more in his stand-up show."
"s4251","TV Show","Pioneers: First Women Filmmakers*",,,,"December 30, 2018",1925,"TV-14","1 Season","TV Shows","This collection restores films from women who tackled hot-button issues, transcended norms, and left a mark on the history of cinema and the industry."
